smiles,Encapsulation_Efficiency_EE<50,Encapsulation_Efficiency_50<=EE<80,Encapsulation_Efficiency_80<EE<=100,chronic_toxicity_none,acute_toxicity_none,acute_toxicity_present,PDI_0_0to0_2,PDI_0_2to0_3,PDI_0_3to0_4,PDI_0_4to0_5
CCCCCCCCCCC(O)CN(CCCCC1NC(=O)C(CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)NC1=O)CC(O)CCCCCCCCCC,,,,,,,0.0,0.0,0.0,0.0
CCCCCCCCCCC(O)CN(CCCCC1NC(=O)C(CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)NC1=O)CC(O)CCCCCCCCCC,,,,,,,0.0,0.0,0.0,0.0
CCCCCCCCCCC(O)CN(CCCCC1NC(=O)C(CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)NC1=O)CC(O)CCCCCCCCCC,,,,,,,0.0,0.0,0.0,0.0
CCCCCCCCCCC(O)CN(CCCCC1NC(=O)C(CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)NC1=O)CC(O)CCCCCCCCCC,,,,,,,0.0,0.0,0.0,0.0
CCCCCCCCCCC(O)CN(CCCCC1NC(=O)C(CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)NC1=O)CC(O)CCCCCCCCCC,,,,,,,0.0,0.0,0.0,0.0
CCCCCCCCCCC(O)CN(CCCCC1NC(=O)C(CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)NC1=O)CC(O)CCCCCCCCCC,,,,,,,0.0,0.0,0.0,0.0
CCCCCCCCCCC(O)CN(CCCCC1NC(=O)C(CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)NC1=O)CC(O)CCCCCCCCCC,,,,,,,0.0,0.0,0.0,0.0
CCCCCCCCCCC(O)CN(CCCCC1NC(=O)C(CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)NC1=O)CC(O)CCCCCCCCCC,,,,,,,0.0,0.0,0.0,0.0
CCCCCCCCCCC(O)CN(CCCCC1NC(=O)C(CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)NC1=O)CC(O)CCCCCCCCCC,,,,,,,0.0,0.0,0.0,0.0
CCCCCCCCCCC(O)CN(CCCCC1NC(=O)C(CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)NC1=O)CC(O)CCCCCCCCCC,,,,,,,0.0,0.0,0.0,0.0
CCCCCCCCCCC(O)CN(CCCCC1NC(=O)C(CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)NC1=O)CC(O)CCCCCCCCCC,,,,,,,0.0,0.0,0.0,0.0
CCCCCCCCCCC(O)CN(CCCCC1NC(=O)C(CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)NC1=O)CC(O)CCCCCCCCCC,,,,,,,0.0,0.0,0.0,0.0
CCCCCCCCCCC(O)CN(CCCCC1NC(=O)C(CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)NC1=O)CC(O)CCCCCCCCCC,,,,,,,0.0,0.0,0.0,0.0
CCCCCCCCCCC(O)CN(CCCCC1NC(=O)C(CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)NC1=O)CC(O)CCCCCCCCCC,,,,,,,0.0,0.0,0.0,0.0
CCCCCCCCC(OC(CCCCCCCN(CCO)CCCCCCCC(OCCCCCCCCC)=O)=O)CCCCCCCC,,,,,,,0.0,0.0,0.0,0.0
CCCCCCCCC(OC(CCCCCCCN(CCO)CCCCCCCC(OCCCCCCCCC)=O)=O)CCCCCCCC,,,,,,,0.0,0.0,0.0,0.0
CCCCCCCCC(OC(CCCCCCCN(CCO)CCCCCCCC(OCCCCCCCCC)=O)=O)CCCCCCCC,,,,,,,0.0,0.0,0.0,0.0
CCCCCCCCC(OC(CCCCCCCN(CCO)CCCCCCCC(OCCCCCCCCC)=O)=O)CCCCCCCC,,,,,,,0.0,0.0,0.0,0.0
CCCCCCCCC(OC(CCCCCCCN(CCO)CCCCCCCC(OCCCCCCCCC)=O)=O)CCCCCCCC,,,,,,,0.0,0.0,0.0,0.0
CCCCCCCCC(OC(CCCCCCCN(CCO)CCCCCCCC(OCCCCCCCCC)=O)=O)CCCCCCCC,,,,,,,0.0,0.0,0.0,0.0
CCCCCCCCC(OC(CCCCCCCN(CCO)CCCCCCCC(OCCCCCCCCC)=O)=O)CCCCCCCC,,,,,,,0.0,0.0,0.0,0.0
CCCCCCCCC(OC(CCCCCCCN(CCO)CCCCCCCC(OCCCCCCCCC)=O)=O)CCCCCCCC,,,,,,,0.0,0.0,0.0,0.0
CCCCCCCCC(OC(CCCCCCCN(CCO)CCCCCCCC(OCCCCCCCCC)=O)=O)CCCCCCCC,,,,,,,0.0,0.0,0.0,0.0
CCCCCCCCC(OC(CCCCCCCN(CCO)CCCCCCCC(OCCCCCCCCC)=O)=O)CCCCCCCC,,,,,,,0.0,0.0,0.0,0.0
CCCCCCCCC(OC(CCCCCCCN(CCO)CCCCCCCC(OCCCCCCCCC)=O)=O)CCCCCCCC,,,,,,,0.0,0.0,0.0,0.0
CCCCCCCCC(OC(CCCCCCCN(CCO)CCCCCCCC(OCCCCCCCCC)=O)=O)CCCCCCCC,,,,,,,0.0,0.0,0.0,0.0
CCCCCCCCC(OC(CCCCCCCN(CCO)CCCCCCCC(OCCCCCCCCC)=O)=O)CCCCCCCC,,,,,,,0.0,0.0,0.0,0.0
CCCCCCCCC(OC(CCCCCCCN(CCO)CCCCCCCC(OCCCCCCCCC)=O)=O)CCCCCCCC,,,,,,,0.0,0.0,0.0,0.0
CCCCCCCCC(OC(CCCCCCCN(CCO)CCCCCCCC(OCCCCCCCCC)=O)=O)CCCCCCCC,,,,,,,0.0,0.0,0.0,0.0
CCCCCCCCC(OC(CCCCCCCN(CCO)CCCCCCCC(OCCCCCCCCC)=O)=O)CCCCCCCC,,,,,,,0.0,0.0,0.0,0.0
CCCCCCCCC(OC(CCCCCCCN(CCO)CCCCCCCC(OCCCCCCCCC)=O)=O)CCCCCCCC,,,,,,,0.0,0.0,0.0,0.0
CCCCCCCCC(OCCCCCCN1CCC[C@H]1COC(OC[C@@H]2CCCN2CCCCCCOC(CCCCCCCC)=O)=O)=O,,,,,,,0.0,0.0,0.0,0.0
CCCCCCCCC(OCCCCCCN1CCC[C@H]1COC(OC[C@@H]2CCCN2CCCCCCOC(CCCCCCCC)=O)=O)=O,,,,,,,0.0,0.0,0.0,0.0
CCCCCCCCC(OCCCCCCN1CCC[C@H]1COC(OC[C@@H]2CCCN2CCCCCCOC(CCCCCCCC)=O)=O)=O,,,,,,,0.0,0.0,0.0,0.0
CCCCCCCCC(OCCCCCCN1CCC[C@H]1COC(OC[C@@H]2CCCN2CCCCCCOC(CCCCCCCC)=O)=O)=O,,,,,,,0.0,0.0,0.0,0.0
CCCCCCCCC(OCCCCCCN1CCC[C@H]1COC(OC[C@@H]2CCCN2CCCCCCOC(CCCCCCCC)=O)=O)=O,,,,,,,0.0,0.0,0.0,0.0
CCCCCCCCC(OCCCCCCN1CCC[C@H]1COC(OC[C@@H]2CCCN2CCCCCCOC(CCCCCCCC)=O)=O)=O,,,,,,,0.0,0.0,0.0,0.0
CCCCCCCCC(OCCCCCCN1CCC[C@H]1COC(OC[C@@H]2CCCN2CCCCCCOC(CCCCCCCC)=O)=O)=O,,,,,,,0.0,0.0,0.0,0.0
CCCCCCCCC(OCCCCCCN1CCC[C@H]1COC(OC[C@@H]2CCCN2CCCCCCOC(CCCCCCCC)=O)=O)=O,,,,,,,0.0,0.0,0.0,0.0
O=C(OC(CCCCCCCC)CCCCCCCC)CCCCCN1[C@H](COC(OC[C@@H]2CCCN2CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)=O)CCC1,,,,,,,0.0,0.0,0.0,0.0
O=C(OC(CCCCCCCC)CCCCCCCC)CCCCCN1[C@H](COC(OC[C@@H]2CCCN2CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)=O)CCC1,,,,,,,0.0,0.0,0.0,0.0
O=C(OC(CCCCCCCC)CCCCCCCC)CCCCCN1[C@H](COC(OC[C@@H]2CCCN2CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)=O)CCC1,,,,,,,0.0,0.0,0.0,0.0
O=C(OC(CCCCCCCC)CCCCCCCC)CCCCCN1[C@H](COC(OC[C@@H]2CCCN2CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)=O)CCC1,,,,,,,0.0,0.0,0.0,0.0
O=C(OC(CCCCCCCC)CCCCCCCC)CCCCCN1[C@H](COC(OC[C@@H]2CCCN2CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)=O)CCC1,,,,,,,0.0,0.0,0.0,0.0
O=C(OC(CCCCCCCC)CCCCCCCC)CCCCCN1[C@H](COC(OC[C@@H]2CCCN2CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)=O)CCC1,,,,,,,0.0,0.0,0.0,0.0
O=C(OC(CCCCCCCC)CCCCCCCC)CCCCCN1[C@H](COC(OC[C@@H]2CCCN2CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)=O)CCC1,,,,,,,0.0,0.0,0.0,0.0
O=C(OC(CCCCCCCC)CCCCCCCC)CCCCCN1[C@H](COC(OC[C@@H]2CCCN2CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)=O)CCC1,,,,,,,0.0,0.0,0.0,0.0
CN(CCCCCCOC(CCCCCCCC)=O)CCOC(OCCN(CCCCCCOC(CCCCCCCC)=O)C)=O,,,,,,,0.0,0.0,0.0,0.0
