learning_rate,d_model,num_heads,dropout,cross_attention_layers,weight_decay,trial,avg_rmse,avg_auc,avg_pr_auc,config_path
0.0001252065381499946,128,2,0.18082901282149316,2,7.424908231815012e-06,0,0.4915178136693107,0.7165599467848682,0.3507849041548918,hyperparam_search/config_trial_0.json
7.44714490408307e-05,128,2,0.16489874336361274,3,2.846081224940646e-06,2,0.37517862311667866,0.7065084223472766,0.358123999120231,hyperparam_search/config_trial_2.json
0.00010663178702639564,64,8,0.2611283057174438,3,2.799080119442767e-07,14,0.3708241764042113,0.696220659897424,0.3380756811650269,hyperparam_search/config_trial_14.json
0.0006105486887627991,512,2,0.24636873691734953,3,2.1036333137407447e-07,6,0.35239036401940715,0.6934095351010974,0.3704981442332396,hyperparam_search/config_trial_6.json
2.7796258518939392e-05,512,4,0.062015746601827924,1,8.676308736419125e-05,5,0.35368420204354656,0.6850422657320184,0.3722689453293186,hyperparam_search/config_trial_5.json
2.2937145935626963e-05,64,4,0.058234686534704094,1,1.8222619787163102e-06,11,0.42331814848714405,0.6826503431766928,0.3431114041600639,hyperparam_search/config_trial_11.json
0.0003592566543705367,256,2,0.24728355979841055,1,3.4471520358963927e-07,13,0.3718702151543564,0.6803625300052448,0.3725826187537701,hyperparam_search/config_trial_13.json
2.033881681364996e-05,256,4,0.0789945045555404,1,1.125731524397161e-06,12,0.4431789666414261,0.6754842235490689,0.3474512417196729,hyperparam_search/config_trial_12.json
0.0005582886587978195,128,4,0.26075836206417596,1,2.8143871886331035e-05,8,0.38168842490348553,0.6729403170036098,0.3765522423963639,hyperparam_search/config_trial_8.json
1.4210736239935744e-05,128,8,0.13152276943226804,1,8.395340123514811e-07,7,0.37049587360686725,0.6599206400887515,0.3376086854526568,hyperparam_search/config_trial_7.json
1.5669935307082697e-05,128,8,0.07408139194989811,1,5.937901590950352e-07,19,0.4582179006603029,0.6536195843707657,0.32042516752895317,hyperparam_search/config_trial_19.json
0.000498465832182656,64,4,0.016308964291929427,1,2.856507171697734e-05,15,0.3649666563918193,0.6533174122808993,0.38384814653489446,hyperparam_search/config_trial_15.json
0.0008591315698733483,512,4,0.2918053079894653,1,1.239328605026126e-05,4,0.3610085979517963,0.6478443812307508,0.38127885502925457,hyperparam_search/config_trial_4.json
0.0003488520557156074,64,2,0.1329044843065825,1,3.1298320746735273e-06,10,0.36972354766395354,0.6290265919321099,0.3414874504260585,hyperparam_search/config_trial_10.json
0.0001263559813738166,128,2,0.036398574361564816,2,4.773543263868112e-05,3,0.34422121114201015,0.6244564528539869,0.31603872353025114,hyperparam_search/config_trial_3.json
2.7962896698210836e-05,128,4,0.1652104369743543,1,2.615674626517264e-07,16,0.4889592902941836,0.6172229493166962,0.3727912878239155,hyperparam_search/config_trial_16.json
0.00019987040085595132,64,4,0.26358044127646557,3,5.3103844719968354e-05,18,0.3410574446121852,0.6061497343403867,0.31351801370483884,hyperparam_search/config_trial_18.json
6.824078427098835e-05,64,2,3.431244520346599e-05,2,2.755926764027376e-07,1,0.5973443364103636,0.6052492038953604,0.33353514023391767,hyperparam_search/config_trial_1.json
1.0489343501429853e-05,256,4,0.1487319879402438,3,2.668905866905683e-07,9,0.382924632065826,0.6035320500304501,0.33457021494682454,hyperparam_search/config_trial_9.json
3.884454201317489e-05,512,8,0.057456236084248456,1,2.633079606226299e-05,17,0.3642800400654475,0.5724109668586904,0.3609281268073225,hyperparam_search/config_trial_17.json
