Cationic_Lipid_Mass_Ratio,Phospholipid_Mass_Ratio,Cholesterol_Mass_Ratio,PEG_Lipid_Mass_Ratio,Helper_lipid_ID,Cationic_Lipid_to_mRNA_weight_ratio,Cationic_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Purity,Route_of_administration,Helper_lipid_ID_DOPE,Helper_lipid_ID_DOTAP,Helper_lipid_ID_DSPC,Helper_lipid_ID_MDOA,Helper_lipid_ID_None,Route_of_administration_intramuscular,Route_of_administration_intratracheal,Route_of_administration_intravenous,size,PDI
0.0,0.0,0.0,0.0,0.0,25.64,0.5,0.1,0.385,0.015,0.0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,25.64,0.5,0.1,0.385,0.015,0.0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,25.64,0.5,0.1,0.385,0.015,0.0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,25.64,0.5,0.1,0.385,0.015,0.0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,25.64,0.5,0.1,0.385,0.015,0.0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,25.64,0.5,0.1,0.385,0.015,0.0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,25.64,0.5,0.1,0.385,0.015,0.0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,25.64,0.5,0.1,0.385,0.015,0.0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,25.64,0.5,0.1,0.385,0.015,0.0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,25.64,0.5,0.1,0.385,0.015,0.0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,25.64,0.5,0.1,0.385,0.015,0.0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,25.64,0.5,0.1,0.385,0.015,0.0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
