Route_of_administration_intramuscular,Route_of_administration_intratracheal,Route_of_administration_intravenous,Model_type_A549,Model_type_BDMC,Model_type_BMDM,Model_type_HBEC_ALI,Model_type_HEK293T,Model_type_HeLa,Model_type_IGROV1,Model_type_Mouse,Model_type_RAW264p7,Cargo_type_mRNA,Cargo_type_pDNA,Cargo_type_siRNA,size,PDI
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,NaN,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,202.7,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,135.4,0.0 ~ 0.2
0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,135.4,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,98.53,0.0 ~ 0.2
0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,98.53,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,85,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,92.83,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,89.01,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,77.003,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,73.81,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,269.6,0.2 ~ 0.3
0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,269.6,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,81.75,0.0 ~ 0.2
0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,81.75,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,72.63,0.2 ~ 0.3
0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,72.63,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,150,0.2 ~ 0.3
