Cationic_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Cationic_Lipid_to_mRNA_weight_ratio,Helper_lipid_ID
50,10,38.5,1.5,14.67100244,DSPC
50,10,38.5,1.5,14.67100244,DSPC
50,10,38.5,1.5,17.67788651,DSPC
50,10,38.5,1.5,17.86915095,DSPC
50,10,38.5,1.5,17.61285873,DSPC
50,10,38.5,1.5,15.66191374,DSPC
50,10,38.5,1.5,14.67100244,DSPC
50,10,38.5,1.5,14.67100244,DSPC
50,10,38.5,1.5,17.83323084,DSPC
50,10,38.5,1.5,17.95682792,DSPC
50,10,38.5,1.5,18.01719192,DSPC
50,10,38.5,1.5,18.28161356,DSPC
50,10,38.5,1.5,14.67100244,DSPC
48.5,10,40,1.5,17.83044719,DSPC
48.5,10,40,1.5,17.94795095,DSPC
48.5,10,40,1.5,17.64728116,DSPC
48.5,10,40,1.5,15.21401022,DSPC
48.5,10,40,1.5,14.964966,DSPC
48.5,10,40,1.5,14.343031,DSPC
48.5,10,40,1.5,14.01143435,DSPC
48.5,10,40,1.5,14.98131005,DSPC
48.5,10,40,1.5,13.72220648,DSPC
48.5,10,40,1.5,14.27012616,DSPC
48.5,10,40,1.5,15.19898065,DSPC
48.5,10,40,1.5,14.343031,DSPC
48.5,10,40,1.5,14.343031,DSPC
48.5,10,40,1.5,18.06597416,DSPC
48.5,10,40,1.5,17.80021894,DSPC
48.5,10,40,1.5,14.343031,DSPC
48.5,10,40,1.5,17.89376817,DSPC
48.5,10,40,1.5,17.61561565,DSPC
48.5,10,40,1.5,18.01340623,DSPC
48.5,10,40,1.5,17.7439276,DSPC
48.5,10,40,1.5,18.18802872,DSPC
48.5,10,40,1.5,14.343031,DSPC
48.5,10,40,1.5,17.8896653,DSPC
40,16,41,3,15.23312059,DOPE
48.5,10,40,1.5,17.35889865,DSPC
48.5,10,40,1.5,19.34728513,DSPC
46.5,7.5,45,1,19.37981918,DSPC
48.5,10,40,1.5,14.343031,DSPC
48.5,10,40,1.5,18.00540724,DSPC
48.5,10,40,1.5,17.73535311,DSPC
48.5,10,40,1.5,18.72527826,DSPC
48.5,10,40,1.5,17.8896653,DSPC
48.5,10,40,1.5,14.343031,DSPC
48.5,10,40,1.5,17.93964861,DSPC
48.5,10,40,1.5,17.66483929,DSPC
48.5,10,40,1.5,17.93091393,DSPC
48.5,10,40,1.5,14.343031,DSPC
50,10,38.5,1.5,18.16832078,DSPC
32.96703297,21.97802198,43.95604396,1.098901099,13.87291972,DOPE
41.32231405,16.52892562,41.32231405,0.826446281,16.34369997,DOPE
27.02702703,32.43243243,37.83783784,2.702702703,11.12329906,DOPE
25,40,30,5,9.602904588,DOPE
38.46153846,21.97802198,38.46153846,1.098901099,15.22342652,DOPE
40,34.28571429,22.85714286,2.857142857,14.21412129,DOPE
34.65346535,39.6039604,24.75247525,0.99009901,13.29890072,DOPE
41.86046512,37.20930233,18.60465116,2.325581395,14.62419529,DOPE
50,10,38.5,1.5,18.26075368,DOPE
37.83783784,37.83783784,21.62162162,2.702702703,13.59373115,DOPE
35.8974359,41.02564103,20.51282051,2.564102564,13.02523135,DOPE
54.90196078,23.52941176,19.60784314,1.960784314,18.01459482,DOPE
52.83018868,26.41509434,18.86792453,1.886792453,17.50825332,DOPE
50.90909091,29.09090909,18.18181818,1.818181818,17.02959744,DOPE
43.24324324,32.43243243,21.62162162,2.702702703,15.0526464,DOPE
39.02439024,39.02439024,19.51219512,2.43902439,13.87880561,DOPE
