smiles,Amine,Encapsulation_Efficiency_EE<50,Encapsulation_Efficiency_50<=EE<80,Encapsulation_Efficiency_80<EE<=100,Delivery_target,Biodistribution_lymph_nodes,Biodistribution_heart,Biodistribution_liver,Biodistribution_spleen,Biodistribution_lung,Biodistribution_kidney,Biodistribution_muscle,quantified_total_luminescence,quantified_delivery,toxic
CCCCCCCCCCCCCCCCOC(CCN([C@H](C(NCCCN(CCC(OCCCCCCCCCCCCCCCC)=O)CCC(OCCCCCCCCCCCCCCCC)=O)=O)CO)CCC(OCCCCCCCCCCCCCCCC)=O)=O,ser,1,0,0,body,,,,,,,,,,
O=C(CN(CC(O)CCCCCCCCCCCC)CC(O)CCCCCCCCCCCC)NCCCN(CC(O)CCCCCCCCCCCC)CC(O)CCCCCCCCCCCC,gly,1,0,0,body,,,,,,,,,,
O=C(CN(CC(O)CCCCCCCCCCCCCC)CC(O)CCCCCCCCCCCCCC)NCCCN(CC(O)CCCCCCCCCCCCCC)CC(O)CCCCCCCCCCCCCC,gly,1,0,0,body,,,,,,,,,,
O=C(CN(CC(O)CCCCCCCCCCCCCCCC)CC(O)CCCCCCCCCCCCCCCC)NCCCN(CC(O)CCCCCCCCCCCCCCCC)CC(O)CCCCCCCCCCCCCCCC,gly,1,0,0,body,,,,,,,,,,
O=C(CN(CCC(OCCCCCCCCCCCC)=O)CCC(OCCCCCCCCCCCC)=O)NCCCN(CCC(OCCCCCCCCCCCC)=O)CCC(OCCCCCCCCCCCC)=O,gly,1,0,0,body,,,,,,,,,,
CCCCCCCCCCCCCCCCOC(CCN([C@H](C(NCCCN(CCC(OCCCCCCCCCCCCCCCC)=O)CCC(OCCCCCCCCCCCCCCCC)=O)=O)CO)CCC(OCCCCCCCCCCCCCCCC)=O)=O,ser,0,0,1,body,,,,,,,,,,
O=C(CN(CC(O)CCCCCCCCCCCC)CC(O)CCCCCCCCCCCC)NCCCN(CC(O)CCCCCCCCCCCC)CC(O)CCCCCCCCCCCC,gly,0,0,1,body,,,,,,,,,,
O=C(CN(CC(O)CCCCCCCCCCCCCC)CC(O)CCCCCCCCCCCCCC)NCCCN(CC(O)CCCCCCCCCCCCCC)CC(O)CCCCCCCCCCCCCC,gly,1,0,0,body,,,,,,,,,,
O=C(CN(CC(O)CCCCCCCCCCCCCCCC)CC(O)CCCCCCCCCCCCCCCC)NCCCN(CC(O)CCCCCCCCCCCCCCCC)CC(O)CCCCCCCCCCCCCCCC,gly,1,0,0,body,,,,,,,,,,
CCCCCCCCCCCCCCCCOC(CCN([C@H](C(NCCCCCCN(CCC(OCCCCCCCCCCCCCCCC)=O)CCC(OCCCCCCCCCCCCCCCC)=O)=O)CO)CCC(OCCCCCCCCCCCCCCCC)=O)=O,ser,0,0,1,body,,,,,,,,,,
OC[C@@H](C(NCCCN(CC(CCCCCC)O)CC(CCCCCC)O)=O)N(CC(CCCCCC)O)CC(CCCCCC)O,ser,0,0,1,body,,,,,,,,,,
CCCCCCCCC(CN(CCCNC([C@@H](N(CC(CCCCCCCC)O)CC(CCCCCCCC)O)CO)=O)CC(CCCCCCCC)O)O,ser,1,0,0,body,,,,,,,,,,
CCCCCCCCCCC(CN([C@H](C(NCCCN(CC(CCCCCCCCCC)O)CC(CCCCCCCCCC)O)=O)CO)CC(CCCCCCCCCC)O)O,ser,0,0,1,body,,,,,,,,,,
CCCCCCCCCCCCC(CN([C@H](C(NCCCN(CC(CCCCCCCCCCCC)O)CC(CCCCCCCCCCCC)O)=O)CO)CC(CCCCCCCCCCCC)O)O,ser,0,0,1,body,,,,,,,,,,
O=C(CCCCCCCC)OCCCCCCN(CCCNC([C@H](C)N(CCCCCCOC(CCCCCCCC)=O)CCCCCCOC(CCCCCCCC)=O)=O)CCCCCCOC(CCCCCCCC)=O,ala,1,0,0,body,,,,,,,,,,
O=C(CCCCCCC)OCCCCCCN(CCCNC([C@H](C)N(CCCCCCOC(CCCCCCC)=O)CCCCCCOC(CCCCCCC)=O)=O)CCCCCCOC(CCCCCCC)=O,ala,0,0,1,body,,,,,,,,,,
O=C(CCCCCC)OCCCCCCN(CCCNC([C@H](C)N(CCCCCCOC(CCCCCC)=O)CCCCCCOC(CCCCCC)=O)=O)CCCCCCOC(CCCCCC)=O,ala,0,0,1,body,,,,,,,,,,
OC[C@@H](C(NCCCCCCN(CC(O)CCCCCC)CC(O)CCCCCC)=O)N(CC(CCCCCC)O)CC(CCCCCC)O,ser,0,0,1,body,,,,,,,,,,
CCCCCCCCC(CN([C@H](C(NCCCCCCN(CC(O)CCCCCCCC)CC(O)CCCCCCCC)=O)CO)CC(CCCCCCCC)O)O,ser,1,0,0,body,,,,,,,,,,
OC[C@@H](C(NCCCCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)=O)N(CC(CCCCCCCCCC)O)CC(CCCCCCCCCC)O,ser,0,0,1,body,,,,,,,,,,
OC[C@@H](C(NCCCCCCN(CC(O)CCCCCCCCCCCC)CC(O)CCCCCCCCCCCC)=O)N(CC(CCCCCCCCCCCC)O)CC(CCCCCCCCCCCC)O,ser,0,0,1,body,,,,,,,,,,
O=C(CCCCCCCC)OCCCCCCN(CCCCCCNC([C@H](C)N(CCCCCCOC(CCCCCCCC)=O)CCCCCCOC(CCCCCCCC)=O)=O)CCCCCCOC(CCCCCCCC)=O,ala,0,0,1,body,,,,,,,,,,
O=C(CCCCCC)OCCCCCCN(CCCCCCNC([C@H](C)N(CCCCCCOC(CCCCCC)=O)CCCCCCOC(CCCCCC)=O)=O)CCCCCCOC(CCCCCC)=O,ala,0,1,0,body,,,,,,,,,,
O=C(NCCCCCCN(CCCCCCCC)CCCCCCCC)[C@H](C)N(CCCCCCCC)CCCCCCCC,ala,0,1,0,body,,,,,,,,,,
O=C(CCCCCCCC)OCCCCCCN(CCCCCCNC(CN(CCCCCCOC(CCCCCCCC)=O)CCCCCCOC(CCCCCCCC)=O)=O)CCCCCCOC(CCCCCCCC)=O,gly,0,1,0,body,,,,,,,,,,
O=C(CCCCCC)OCCCCCCN(CCCCCCNC(CN(CCCCCCOC(CCCCCC)=O)CCCCCCOC(CCCCCC)=O)=O)CCCCCCOC(CCCCCC)=O,gly,1,0,0,body,,,,,,,,,,
O=C(CN(CCCCCCOC(CCCCCCCCCCC)=O)CCCCCCOC(CCCCCCCCCCC)=O)NCCCN(CCCCCCOC(CCCCCCCCCCC)=O)CCCCCCOC(CCCCCCCCCCC)=O,gly,0,0,1,body,,,,,,,,,,
O=C(CN(CCCCCCOC(CCCCCCCCC=C)=O)CCCCCCOC(CCCCCCCCC=C)=O)NCCCN(CCCCCCOC(CCCCCCCCC=C)=O)CCCCCCOC(CCCCCCCCC=C)=O,gly,0,1,0,body,,,,,,,,,,
C=CCCCCCCCCC(OCCCCCCN([C@H](C(NCCCCCCN(CCCCCCOC(CCCCCCCCC=C)=O)CCCCCCOC(CCCCCCCCC=C)=O)=O)CO)CCCCCCOC(CCCCCCCCC=C)=O)=O,ser,1,0,0,body,,,,,,,,,,
O=C(NCCCCCCN([C@H](C(NCCCN(CCCCCCNC(CCCCCCCCCCC)=O)CCCCCCNC(CCCCCCCCCCC)=O)=O)CO)CCCCCCNC(CCCCCCCCCCC)=O)CCCCCCCCCCC,ser,1,0,0,body,,,,,,,,,,
O=C(C(CCCCCCCC)CCCCCC)OCCCCCC[N+](CC)(CC)CC.[Br-],TEA,1,0,0,body,,,,,,,,,,
CCCCCCCCCCCC(OCCCCCCN([C@H](C(NCCCN(CCCCCCOC(CCCCCCCCCCC)=O)CCCCCCOC(CCCCCCCCCCC)=O)=O)CO)CCCCCCOC(CCCCCCCCCCC)=O)=O,ser,0,0,1,body,0.0111914004572023,0.00227125491616379,0.0087793193558941,0.0082437061808303,0.0040187384451477,0.0084969382601972,0.956998642384564,0.596141429580998,0.059562231,
CCCCCCCCCCCC(OCCCCCCN([C@H](C(NCCCN(CCCCCCOC(CCCCCCCCCCC)=O)CCCCCCOC(CCCCCCCCCCC)=O)=O)CO)CCCCCCOC(CCCCCCCCCCC)=O)=O,ser,0,0,1,body,,0.00531733106486159,0.69156525750989,0.28508003495893,0.0160312488066627,0.0020061276596562,,0.176602424488684,-0.583670776,
C=CCCCCCCCCC(OCCCCCCN([C@H](C(NCCCN(CCCCCCOC(CCCCCCCCC=C)=O)CCCCCCOC(CCCCCCCCC=C)=O)=O)CO)CCCCCCOC(CCCCCCCCC=C)=O)=O,ser,0,0,1,body,0.0210584248832937,0.000931640117614886,0.0300315170504259,0.0160360600660287,0.002060495753182,0.005193484572538,0.924688377556917,0.507741968135695,-0.075970939,
C=CCCCCCCCCC(OCCCCCCN([C@H](C(NCCCN(CCCCCCOC(CCCCCCCCC=C)=O)CCCCCCOC(CCCCCCCCC=C)=O)=O)CO)CCCCCCOC(CCCCCCCCC=C)=O)=O,ser,0,0,1,body,,0.00533934786984105,0.597844801683409,0.374278985337898,0.0199301473078145,0.0026067178010376,,0.177860137006811,-0.581742464,
O=C(NCCCCCCN([C@H](C(NCCCN(CCCCCCNC(CCCCCCCCCCC)=O)CCCCCCNC(CCCCCCCCCCC)=O)=O)CO)CCCCCCNC(CCCCCCCCCCC)=O)CCCCCCCCCCC,ser,1,0,0,body,,,,,,,,,,
CCCCCCCCCCCC(OCCCCCCN([C@H](C(NCCCN(CCCCCCOC(CCCCCCCCCCC)=O)CCCCCCOC(CCCCCCCCCCC)=O)=O)CO)CCCCCCOC(CCCCCCCCCCC)=O)=O,ser,0,0,1,body,0.0022422274061583,0.000962422246665562,0.0028721989279936,0.003224511768646,0.0020666189062686,0.0033340958559407,0.985297924888327,0.792858557060483,0.361166963,
CCCCCCCCCCCC(OCCCCCCN([C@H](C(NCCCN(CCCCCCOC(CCCCCCCCCCC)=O)CCCCCCOC(CCCCCCCCCCC)=O)=O)CO)CCCCCCOC(CCCCCCCCCCC)=O)=O,ser,0,0,1,body,,0.00657230701947091,0.556297397905001,0.404138164228711,0.0296624454205942,0.003329685426223,,0.20948041157182,-0.533262575,
C=CCCCCCCCCC(OCCCCCCN([C@H](C(NCCCN(CCCCCCOC(CCCCCCCCC=C)=O)CCCCCCOC(CCCCCCCCC=C)=O)=O)CO)CCCCCCOC(CCCCCCCCC=C)=O)=O,ser,0,1,0,body,0.0122002332749747,0.000591091003585345,0.0011397559337482,0.0017676618204001,0.0011862877562115,0.0008145121805598,0.98230045803052,1.58712844716331,1.578933614,
C=CCCCCCCCCC(OCCCCCCN([C@H](C(NCCCN(CCCCCCOC(CCCCCCCCC=C)=O)CCCCCCOC(CCCCCCCCC=C)=O)=O)CO)CCCCCCOC(CCCCCCCCC=C)=O)=O,ser,0,1,0,body,,0.0055909076747788,0.864547542326111,0.121503978921508,0.0072991401256876,0.0010584309519146,,0.762385942529413,0.314446655,
O=C(OC(CCCCCCCC)CCCCCCCC)CCCCCCCN(CCCCCC(OCCCCCCCCCCC)=O)CCO,,0,0,1,body,0.0390763854278316,0.00164994009844252,0.0661192424915616,0.0206209930549816,0.0019734769305423,0.0016045428524479,0.868955419144192,1,0.678754151,0.0
O=C(OC(CCCCCCCC)CCCCCCCC)CCCCCCCN(CCCCCC(OCCCCCCCCCCC)=O)CCO,,0,0,1,body,,0.00384316363496011,0.851255867494199,0.137210400166604,0.0070110909265964,0.0006794777776411,,1,0.678754151,0.0
O=C(OCCCCCCN([C@H](C(NCCCN(CCCCCCOC(CCCCCCCCC)=O)CCCCCCOC(CCCCCCCCC)=O)=O)CO)CCCCCCOC(CCCCCCCCC)=O)CCCCCCCCC,ser,0,0,1,body,,,,,,,,,,
O=C(CCCCCCCCC)OCCCCCCN(CCCCCCOC(CCCCCCCCC)=O)CCCCCCNC([C@@H](N(CCCCCCOC(CCCCCCCCC)=O)CCCCCCOC(CCCCCCCCC)=O)CO)=O,ser,0,0,1,body,,,,,,,,,,
OC[C@@H](C(NCCCCCCN(CC(O)CCCCCCCCCCCCCC)CC(O)CCCCCCCCCCCCCC)=O)N(CC(CCCCCCCCCCCCCC)O)CC(CCCCCCCCCCCCCC)O,ser,0,0,1,body,,,,,,,,,,
OCCN(CCCCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)CCCCCCCC(OCCCCCCCCC)=O,DBU,1,0,0,body,,,,,,,,,,
OC(CC(NCCCCCCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)=O)(CC(NCCCCCCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)=O)C(NCCCCCCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)=O,,0,0,1,body,0.0155523974922323,0.00129152518305059,0.446962380102849,0.0407067099579296,0.0017062557828434,0.0042183060734366,0.489562425407659,4.04718291807415,5.350664524,0.0
O=C(OC(CCCCCCCC)CCCCCCCC)CCCCCCCN(CCCCCC(OCCCCCCCCCCC)=O)CCO,,0,0,1,body,0.0165979002447495,0.00361970146585138,0.310566371988181,0.0118953898978584,0.0072749796346181,0.006472223261143,0.643573433507598,1,0.678754151,0.0
C=CCCCCCCCCC(OCCCCCCN([C@H](C(NCCN(CCCCCCOC(CCCCCCCCC=C)=O)CCCCCCOC(CCCCCCCCC=C)=O)=O)CO)CCCCCCOC(CCCCCCCCC=C)=O)=O,ser,0,0,1,body,0.127270779777207,0.0355651632001246,0.0965373529640882,0.0454740204097531,0.0338026797538366,0.0465840928565864,0.614765911038405,0.0505010966098528,-0.77700807,
C=CCCCCCCCCC(OCCCCCCN([C@H](C(NCCCCN(CCCCCCOC(CCCCCCCCC=C)=O)CCCCCCOC(CCCCCCCCC=C)=O)=O)CO)CCCCCCOC(CCCCCCCCC=C)=O)=O,ser,0,0,1,body,0.0275897803818406,0.0140220813902507,0.0611423332934752,0.0248626002542061,0.0133347505104052,0.0187510241318683,0.840297430037954,0.11103838626238,-0.684192903,
C=CCCCCCCCCC(OCCCCCCN(CCCCCCOC(CCCCCCCCC=C)=O)CCCCCNC([C@@H](N(CCCCCCOC(CCCCCCCCC=C)=O)CCCCCCOC(CCCCCCCCC=C)=O)CO)=O)=O,ser,0,1,0,body,0.0250376334304389,0.00337885545037859,0.0517009582142691,0.0430146012578083,0.0035025205665683,0.0040675393638315,0.869297891716705,0.594087846809013,0.056413698,
CCCCCCCCCCCC(OCCCCCCN(CCCCCNC([C@@H](N(CCCCCCOC(CCCCCCCCCCC)=O)CCCCCCOC(CCCCCCCCCCC)=O)CO)=O)CCCCCCOC(CCCCCCCCCCC)=O)=O,ser,0,1,0,body,0.0077488442849062,0.00205921183588078,0.0366644403250292,0.0113925424121347,0.0022513004617636,0.0041454140282595,0.935738246652026,0.903691788703443,0.531095365,
O=C(OC(CCCCCCCC)CCCCCCCC)CCCCCCCN(CCCCCC(OCCCCCCCCCCC)=O)CCO,,0,0,1,body,0.0281381236661192,0.00268792352252722,0.218417144486954,0.0369503427520482,0.0019955348800613,0.0028993774403257,0.708911553251965,1,0.678754151,0.0
CCCCCCCCCCCC(OCCCCCCN([C@H](C(NCCN(CCCCCCOC(CCCCCCCCCCC)=O)CCCCCCOC(CCCCCCCCCCC)=O)=O)CO)CCCCCCOC(CCCCCCCCCCC)=O)=O,ser,0,0,1,body,0.0747106900577881,0.0465999615731367,0.107994265529626,0.0501322770872438,0.0448116344718523,0.0485065251769853,0.627244646103368,0.0685266977729659,-0.749371399,
CCCCCCCCCCCC(OCCCCCCN([C@H](C(NCCCCN(CCCCCCOC(CCCCCCCCCCC)=O)CCCCCCOC(CCCCCCCCCCC)=O)=O)CO)CCCCCCOC(CCCCCCCCCCC)=O)=O,ser,0,0,1,body,0.0109650973341036,0.00500301836333305,0.0209516607489436,0.0092887697410698,0.0049835450515069,0.0061373387772058,0.942670569983837,0.624112412102086,0.102447061,
CCCCCCCCCCC(OCCCCCCN([C@H](C(NCCCN(CCCCCCOC(CCCCCCCCCC)=O)CCCCCCOC(CCCCCCCCCC)=O)=O)CO)CCCCCCOC(CCCCCCCCCC)=O)=O,ser,0,0,1,body,0.0312031939311219,0.00665572714585857,0.0303955096845431,0.016483404133503,0.0070365656038973,0.0108270584446455,0.897398541056431,0.396247798437663,-0.246912685,
O=C([C@H](CO)N(CCCCCCOC(CCCCCCCCCCC)=O)CCCCCCOC(CCCCCCCCCCC)=O)N(CC1)CCN1C2=NC=CC=N2,pp,1,0,0,body,0.113993758795815,0.073640090558649,0.155999510493789,0.089181912745518,0.0778008933488344,0.0854800220277795,0.403903812029615,0.0331042054271613,-0.80368081,
O=C([C@H](CO)N(CCCCCCOC(CCCCCCCCC=C)=O)CCCCCCOC(CCCCCCCCC=C)=O)N(CC1)CCN1C2=NC=CC=N2,pp,1,0,0,body,,,,,,,,,,
O=C(OC(CCCCCCCC)CCCCCCCC)CCCCCCCN(CCCCCC(OCCCCCCCCCCC)=O)CCO,,0,0,1,body,0.0791681309989092,0.00438236238399703,0.207450725009039,0.0200057324176319,0.0043550169288623,0.0068758627744293,0.677762169487131,1,0.678754151,0.0
O=C(CN(CCCCCCOC(CCCCCCC)=O)CCCCCCOC(CCCCCCC)=O)N(CC1)CCN1C2=NC=CC=N2,pp,0,0,1,body,0.051854991416453,0.0528002488161413,0.131177333337399,0.0608349367134925,0.0676316423389937,0.091080124286102,0.544620723091419,0.00589767682753027,-0.845393588,
O=C(CN(CCCCCCOC(CCCCCCCCCCC)=O)CCCCCCOC(CCCCCCCCCCC)=O)N(CC1)CCN1C2=NC=CC=N2,pp,0,1,0,body,0.0349404656939791,0.032170759570341,0.107989787547248,0.0410644871922655,0.0376181677387698,0.0487295770112475,0.697486755246149,0.00938217477428712,-0.84005119,
O=C([C@H](CO)N(CCCCCCCCCCCCCC)CCCCCCCCCCCCCC)N(CC1)CCN1C2=NC=CC=N2,pp,1,0,0,body,,,,,,,,,,
O=C(CCCN(CCCCCCOC(CCCCCCC)=O)CCCCCCOC(CCCCCCC)=O)N(CC1)CCN1C2=NC=CC=N2,pp,1,0,0,body,,,,,,,,,,
O=C(CCCN(CCCCCCOC(CCCCCCCCCCC)=O)CCCCCCOC(CCCCCCCCCCC)=O)N(CC1)CCN1C2=NC=CC=N2,pp,0,1,0,body,0.0353281775739917,0.00307182736960491,0.034716407488313,0.0124183147896963,0.0049300017611563,0.0071434971620665,0.902391773855171,0.291015633780908,-0.408253588,
O=C(OC(CCCCCCCC)CCCCCCCC)CCCCCCCN(CCCCCC(OCCCCCCCCCCC)=O)CCO,,0,0,1,body,0.0263012913083446,0.00104221918552839,0.17396331575752,0.0231252484593015,0.0021842122689119,0.0025049379718497,0.770878775048544,1,0.678754151,0.0
O=C(OC(CCCCCCCC)CCCCCCCC)CCCCCCCN(CCCCCC(OCCCCCCCCCCC)=O)CCO,,0,0,1,body,0.142104027989206,0.00287714799265922,0.215134204863943,0.0243152184566193,0.00619704480449,0.0040545145723166,0.605317841320765,1,0.678754151,0.0
CCCCCCCCCCCC(OCCCCCCN(CCN(C)CCNC([C@@H](N(CCCCCCOC(CCCCCCCCCCC)=O)CCCCCCOC(CCCCCCCCCCC)=O)CO)=O)CCCCCCOC(CCCCCCCCCCC)=O)=O,ser,0,1,0,body,0.0696417285874694,0.0029599268608454,0.0569405498935433,0.0189535946790038,0.0062855494947139,0.0062045564711585,0.839014094013266,1.46543205325214,1.39234992,
O=C(OCCCCCCN([C@H](C(NCCN(C)CCN(CCCCCCOC(CCCCCCCCC=C)=O)CCCCCCOC(CCCCCCCCC=C)=O)=O)CO)CCCCCCOC(CCCCCCCCC=C)=O)CCCCCCCCC=C,ser,0,0,1,body,0.0260251149767627,0.00751090805185066,0.0532899531021804,0.0511794000344704,0.0152455710134586,0.0158624088727893,0.830886643948488,0.594741863231617,0.05741643,
O=C(OC(CCCCCCCC)CCCCCCCC)CCCCCCCN(CCCCCC(OCCCCCCCCCCC)=O)CCO,,0,0,1,body,0.235642631118293,0.00357683071882224,0.268183756367962,0.0537803810677977,0.0056567696761597,0.0055019188042819,0.427657712246684,4.00658908072073,5.288426459,0.0
CCCCCCCCCCCC(OCCCCCCN(CCCCCCOC(CCCCCCCCCCC)=O)CCCOC([C@@H](N(CCCCCCOC(CCCCCCCCCCC)=O)CCCCCCOC(CCCCCCCCCCC)=O)CO)=O)=O,ser,0,1,0,body,0.0099190479933056,0.00800736011391533,0.0452217049389508,0.0197202047147262,0.0164331186633441,0.0158205463682553,0.884878017207502,0.0777961107519447,-0.735159628,
O=C(OCCCCCCN(CCCCCCOC(CCCCCCCCC=C)=O)CCCOC([C@@H](N(CCCCCCOC(CCCCCCCCC=C)=O)CCCCCCOC(CCCCCCCCC=C)=O)CO)=O)CCCCCCCCC=C,ser,1,0,0,body,,,,,,,,,,
CCCCCCCCCCCC(OCCCCCCN(CCOCCNC([C@@H](N(CCCCCCOC(CCCCCCCCCCC)=O)CCCCCCOC(CCCCCCCCCCC)=O)CO)=O)CCCCCCOC(CCCCCCCCCCC)=O)=O,ser,1,0,0,body,,,,,,,,,,
O=C(OCCCCCCN([C@H](C(NCCOCCN(CCCCCCOC(CCCCCCCCC=C)=O)CCCCCCOC(CCCCCCCCC=C)=O)=O)CO)CCCCCCOC(CCCCCCCCC=C)=O)CCCCCCCCC=C,ser,0,0,1,body,0.0273933363293668,0.0025481137083807,0.0489889660247262,0.0091039525998653,0.0055386303713765,0.0057073163900428,0.900719684576242,0.282511511559215,-0.421292023,
O=C(CCCCCCCCCCC)OCCCCCCN(CCOCCOCCNC([C@@H](N(CCCCCCOC(CCCCCCCCCCC)=O)CCCCCCOC(CCCCCCCCCCC)=O)CO)=O)CCCCCCOC(CCCCCCCCCCC)=O,ser,0,0,1,body,0.0107761878140537,0.0018907931479914,0.0090687432553602,0.0081736420214883,0.0036912105040908,0.0041223134194373,0.962277109837578,1.03869430459932,0.738079872,
O=C(OC(CCCCCCCC)CCCCCCCC)CCCCCCCN(CCCCCC(OCCCCCCCCCCC)=O)CCO,,0,0,1,body,0.0897266059620516,0.00139613482527267,0.256772056278909,0.191186512263101,0.0033816092552831,0.0029734439015677,0.454563637513815,1.5464658771399,1.516590169,0.0
CCCCCCCCCCCC(OCCCCCCN([C@H](C(NCCCN(CCCCCCOC(CCCCCCCCCCC)=O)CCCCCCOC(CCCCCCCCCCC)=O)=O)CO)CCCCCCOC(CCCCCCCCCCC)=O)=O,ser,0,1,0,body,,0.00393259539867672,0.698404256940233,0.29082082024119,0.0048274579959344,0.002014869423966,,0.150267764477171,-0.624046813,
CCCCCCCCCCCC(OCCCCCCN([C@H](C(NCCCN(CCCCCCOC(CCCCCCCCCCC)=O)CCCCCCOC(CCCCCCCCCCC)=O)=O)CO)CCCCCCOC(CCCCCCCCCCC)=O)=O,ser,0,1,0,body,,0.0193985055782088,0.642311593152982,0.297952931923085,0.0232690994142363,0.0170678699314884,,0.0138284395356039,-0.833234221,
O=C(OCCCCCCCC)CCN(CCC(OCCCCCCCC)=O)CCCCN(CCCCN(CCC(OCCCCCCCC)=O)CCC(OCCCCCCCC)=O)CCNC(CCC(NCC1=CC=C(B(O)O)C=C1)=O)=O,PBA,0,1,0,body,,0.00374237304524464,0.388696129733584,0.542462789676973,0.0600826887673663,0.0050160187768317,,0.0757788640374704,-0.73825245,
O=C(OCCCCCCCC/C=C\C/C=C\CCCCC)CCN(CCC(OCCCCCCCC/C=C\C/C=C\CCCCC)=O)CCCCN(CCCCN(CCC(OCCCCCCCC/C=C\C/C=C\CCCCC)=O)CCC(OCCCCCCCC/C=C\C/C=C\CCCCC)=O)CCNC(CCC(NCCC1=CC=C(O)C(O)=C1)=O)=O,DOP,0,0,1,body,,0.00454633850545055,0.547957057084188,0.42844914578143,0.0150324705651762,0.0040149880637559,,0.0747683143174281,-0.739801815,
O=C(OCCCCCCCC/C=C\C/C=C\CCCCC)CCN(CCC(OCCCCCCCC/C=C\C/C=C\CCCCC)=O)CCCCN(CCCCN(CCC(OCCCCCCCC/C=C\C/C=C\CCCCC)=O)CCC(OCCCCCCCC/C=C\C/C=C\CCCCC)=O)CCNC(CCC(NCCC1=CC=C(O)C(O)=C1)=O)=O,DOP,0,1,0,body,,0.00648649184357099,0.353238786148937,0.611732175774514,0.0204133713900616,0.0081291748429168,,0.231046253558505,-0.500198042,
O=C(OC(CCCCCCCC)CCCCCCCC)CCCCCCCN(CCCCCC(OCCCCCCCCCCC)=O)CCO,,0,1,0,body,,0.00209231248329155,0.858334702447977,0.133879376324869,0.0038743559198132,0.0018192528240494,,1,0.678754151,0.0
CC(CNC([C@@H](N(CCCCCCOC(CCCCCCCCCCC)=O)CCCCCCOC(CCCCCCCCCCC)=O)CO)=O)(CN(CCCCCCOC(CCCCCCCCCCC)=O)CCCCCCOC(CCCCCCCCCCC)=O)C,ser,1,0,0,body,,,,,,,,,,
CC(CNC([C@@H](N(CCCCCCOC(CCCCCCCCC=C)=O)CCCCCCOC(CCCCCCCCC=C)=O)CO)=O)(CN(CCCCCCOC(CCCCCCCCC=C)=O)CCCCCCOC(CCCCCCCCC=C)=O)C,ser,1,0,0,body,,,,,,,,,,
O=C(CCCCC(OCCCCCCN(CCCNC([C@@H](N(CCCCCCOC(CCCCC(OCCCC(F)(F)F)=O)=O)CCCCCCOC(CCCCC(OCCCC(F)(F)F)=O)=O)CO)=O)CCCCCCOC(CCCCC(OCCCC(F)(F)F)=O)=O)=O)OCCCC(F)(F)F,ser,1,0,0,body,,,,,,,,,,
O=C(OCCCCCCCCN(CCCNC([C@@H](N(CCCCCCCCOC(CCCCCCCCC)=O)CCCCCCCCOC(CCCCCCCCC)=O)CO)=O)CCCCCCCCOC(CCCCCCCCC)=O)CCCCCCCCC,ser,0,1,0,body,0.0302618004269707,0.0170318389360463,0.0852511261606349,0.0321310738618372,0.020553836096385,0.0249767617646758,0.78979356275345,0.103578477209434,-0.695630361,
O=C(OC(CCCCCCCC)CCCCCCCC)CCCCCCCN(CCCCCC(OCCCCCCCCCCC)=O)CCO,,0,0,1,body,0.0896852170263435,0.00316402812450449,0.145700011838927,0.0181473232698177,0.0048727657230144,0.0067678488925474,0.731662805124845,0.495095154572619,-0.095360908,0.0
O=C(OCCCCCCN([C@H](C(NC/C=C/CN(CCCCCCOC(CCCCCCCCCCC)=O)CCCCCCOC(CCCCCCCCCCC)=O)=O)CO)CCCCCCOC(CCCCCCCCCCC)=O)CCCCCCCCCCC,ser,0,0,1,body,0.0441668582339066,0.00173504332049564,0.0552287456296669,0.0103338721124601,0.0042443649644617,0.0079830641410154,0.876308051597994,0.118006736161235,-0.673509099,
O=C(OCCCCCCN([C@H](C(NC/C=C/CN(CCCCCCOC(CCCCCCCCC=C)=O)CCCCCCOC(CCCCCCCCC=C)=O)=O)CO)CCCCCCOC(CCCCCCCCC=C)=O)CCCCCCCCC=C,ser,0,1,0,body,0.014374943627672,0.00199135248489222,0.0891563599260395,0.0109943655858212,0.0040817088707495,0.0072156579778118,0.872185611527014,0.120117219447052,-0.670273327,
C=CCCCCCCCCC(OCCCCCCN(CCOCCOCCNC([C@@H](N(CCCCCCOC(CCCCCCCCC=C)=O)CCCCCCOC(CCCCCCCCC=C)=O)CO)=O)CCCCCCOC(CCCCCCCCC=C)=O)=O,ser,0,1,0,body,0.159505299591344,0.00863892692709962,0.059163494819016,0.0251436766117119,0.0207012928199433,0.0319161553971728,0.694931153833713,0.19624671777719,-0.553552342,
O=C(OC(CCCCCCCC)CCCCCCCC)CCCCCCCN(CCCCCC(OCCCCCCCCCCC)=O)CCO,,0,0,1,body,0.18227458966528,0.00260059752378256,0.10140002712747,0.0194272464327483,0.0039499881185068,0.0070823432970709,0.683265207835141,1,0.678754151,0.0
CCCCCCCCCCCC(OCCCCCCN([C@H](C(NCCCN(CCCCCCOC(CCCCCCCCCCC)=O)CCCCCCOC(CCCCCCCCCCC)=O)=O)CO)CCCCCCOC(CCCCCCCCCCC)=O)=O,ser,0,0,1,body,,,,,,,,,,
