smiles,Amine,Encapsulation_Efficiency_EE<50,Encapsulation_Efficiency_50<=EE<80,Encapsulation_Efficiency_80<EE<=100,Delivery_target,Biodistribution_lymph_nodes,Biodistribution_heart,Biodistribution_liver,Biodistribution_spleen,Biodistribution_lung,Biodistribution_kidney,Biodistribution_muscle,quantified_total_luminescence,quantified_delivery,toxic
O=C(OCCCCCCN([C@H](C(NCCCCCCN(CCCCCCOC(CCCCCCC)=O)CCCCCCOC(CCCCCCC)=O)=O)CO)CCCCCCOC(CCCCCCC)=O)CCCCCCC,ser,0,1,0,body,,0.0210297731298931,0.658450324145507,0.200900368909969,0.111879408982101,0.0077401248325301,0.7745,0.0342179895228306,-0.801973167,
O=C(OC(CCCCCCCC)CCCCCCCC)CCCCCCCN(CCCCCC(OCCCCCCCCCCC)=O)CCO,,0,1,0,body,,0.00128819081649658,0.393692319023747,0.589452131076946,0.0101812483827002,0.0053861107001096,0.7745,1,0.678754151,0.0
O=C(NCCCCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)[C@H](C)N(CCCCCCCCCCCC)CCCCCCCCCCCC,ala,1,0,0,body,,,,,,,,,,
O=C(CN(CCCCCCOC(CCCCCC)=O)CCCCCCOC(CCCCCC)=O)NCCCN(CCCCCCOC(CCCCCC)=O)CCCCCCOC(CCCCCC)=O,gly,0,1,0,body,,,,,,,,,,
O=C(CN(CCCCCCOC(CCCCC)=O)CCCCCCOC(CCCCC)=O)NCCCN(CCCCCCOC(CCCCC)=O)CCCCCCOC(CCCCC)=O,gly,1,0,0,body,,,,,,,,,,
O=C(CN(CCCCCCCCCCCCCC)CCCCCCCCCCCCCC)NCCCN(CCCCCCCCCCCCCC)CCCCCCCCCCCCCC,gly,1,0,0,body,,,,,,,,,,
O=C(NCCCCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)CN(CCCCCCCCCCCC)CCCCCCCCCCCC,gly,1,0,0,body,,,,,,,,,,
O=C(OCCCCCCN([C@H](C(NCCCN(CCCCCCOC(CCCCC)=O)CCCCCCOC(CCCCC)=O)=O)CO)CCCCCCOC(CCCCC)=O)CCCCC,ser,0,1,0,body,,,,,,,,,,
O=C(OC(CCCCCCCC)CCCCCCCC)CCCCCCCN(CCCCCC(OCCCCCCCCCCC)=O)CCO,,0,0,1,body,,,,,,,,,,0.0
CCCCCCCCCCCCCCCCCC(OCCCCCCN([C@H](C(NCCCN(CCCCCCOC(CCCCCCCCCCCCCCCCC)=O)CCCCCCOC(CCCCCCCCCCCCCCCCC)=O)=O)CO)CCCCCCOC(CCCCCCCCCCCCCCCCC)=O)=O,ser,0,0,1,body,,,,,,,,,,
